metric,value,se,ci_low,ci_high,p_value,n,clusters
focal_pairs,193.0,,,,,,
complete_prior_pairs,130.0,,,,,,
pairs_with_any_no_prior_history,63.0,,,,,,
rank10_no_prior_history,34.0,,,,,,
rank11_no_prior_history,37.0,,,,,,
prior_points_zero_inclusive_difference,4.041450777202073,8.98568135882216,-16.28557267127978,24.36847422568393,0.6635163164943821,193.0,10.0
prior_points_complete_pair_difference,1.073076923076923,8.369254448457799,-17.859491974782628,20.005645820936472,0.90079694112145,130.0,10.0
prior_points_per_start_complete_pair_difference,0.07108219266114,0.426498646634355,-0.8937247757465067,1.0358891610687868,0.871318347369928,130.0,10.0
no_prior_history_indicator_difference,-0.0155440414507772,0.0393039202127192,-0.1044556860860291,0.0733676031844747,0.7016969415550283,193.0,10.0
