quantile,score_gap_sec
0.0,0.0019999999999953
0.05,0.007000000000005
0.25,0.0300000000000011
0.5,0.0629999999999881
0.75,0.1160000000000138
0.95,0.3663999999999954
1.0,1.563999999999993
